date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:02	31/31	---M--	200	added ('OK')	text/plain	date:Tue,%2020%20Oct%202020%2007:00:04%20GMT	https://codecanyon.kreativdev.com/robots.txt		(from )
12:06:03	45903/45903	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Feb%202023%2009:06:02%20GMT	https://codecanyon.kreativdev.com/coursela/demo/	/Users/sajjadasaad/websites/coursela/codecanyon.kreativdev.com/coursela/demo/index.html	(from )
12:06:03	3253/3253	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Sep%202021%2006:26:38%20GMT	https://codecanyon.kreativdev.com/coursela/demo/assets/img/1632723997.png	/Users/sajjadasaad/websites/coursela/codecanyon.kreativdev.com/coursela/demo/assets/img/1632723997.png	(from https://codecanyon.kreativdev.com/coursela/demo/)
12:06:04	56047/56047	---M--	200	added ('OK')	text/css	date:Sat,%2002%20Oct%202021%2011:00:14%20GMT	https://codecanyon.kreativdev.com/coursela/demo/assets/css/animate.min.css	/Users/sajjadasaad/websites/coursela/codecanyon.kreativdev.com/coursela/demo/assets/css/animate.min.css	(from https://codecanyon.kreativdev.com/coursela/demo/)
12:06:06	80108/80108	---M--	200	added ('OK')	text/css	date:Thu,%2012%20Aug%202021%2011:59:02%20GMT	https://codecanyon.kreativdev.com/coursela/demo/assets/css/all.min.css	/Users/sajjadasaad/websites/coursela/codecanyon.kreativdev.com/coursela/demo/assets/css/all.min.css	(from https://codecanyon.kreativdev.com/coursela/demo/)
12:06:06	1267/1267	---M--	200	added ('OK')	text/css	date:Sat,%2029%20May%202021%2005:11:52%20GMT	https://codecanyon.kreativdev.com/coursela/demo/assets/css/flaticon.css	/Users/sajjadasaad/websites/coursela/codecanyon.kreativdev.com/coursela/demo/assets/css/flaticon.css	(from https://codecanyon.kreativdev.com/coursela/demo/)
12:06:08	155761/155761	---M--	200	added ('OK')	text/css	date:Sun,%2003%20Oct%202021%2004:18:34%20GMT	https://codecanyon.kreativdev.com/coursela/demo/assets/css/bootstrap.min.css	/Users/sajjadasaad/websites/coursela/codecanyon.kreativdev.com/coursela/demo/assets/css/bootstrap.min.css	(from https://codecanyon.kreativdev.com/coursela/demo/)
12:06:08	6837/6837	---M--	200	added ('OK')	text/css	date:Sun,%2003%20Oct%202021%2004:20:26%20GMT	https://codecanyon.kreativdev.com/coursela/demo/assets/css/magnific-popup.css	/Users/sajjadasaad/websites/coursela/codecanyon.kreativdev.com/coursela/demo/assets/css/magnific-popup.css	(from https://codecanyon.kreativdev.com/coursela/demo/)
12:06:09	2936/2936	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Sep%202018%2003:21:56%20GMT	https://codecanyon.kreativdev.com/coursela/demo/assets/css/owl-carousel.min.css	/Users/sajjadasaad/websites/coursela/codecanyon.kreativdev.com/coursela/demo/assets/css/owl-carousel.min.css	(from https://codecanyon.kreativdev.com/coursela/demo/)
12:06:10	3684/3684	---M--	200	added ('OK')	text/css	date:Sat,%2014%20Nov%202020%2006:51:46%20GMT	https://codecanyon.kreativdev.com/coursela/demo/assets/css/nice-select.css	/Users/sajjadasaad/websites/coursela/codecanyon.kreativdev.com/coursela/demo/assets/css/nice-select.css	(from https://codecanyon.kreativdev.com/coursela/demo/)
12:06:11	1642/1642	---M--	200	added ('OK')	text/css	date:Sun,%2003%20Oct%202021%2004:22:00%20GMT	https://codecanyon.kreativdev.com/coursela/demo/assets/css/slick.css	/Users/sajjadasaad/websites/coursela/codecanyon.kreativdev.com/coursela/demo/assets/css/slick.css	(from https://codecanyon.kreativdev.com/coursela/demo/)
12:06:12	6748/6748	---M--	200	added ('OK')	text/css	date:Sun,%2003%20Jan%202021%2006:13:42%20GMT	https://codecanyon.kreativdev.com/coursela/demo/assets/css/toastr.min.css	/Users/sajjadasaad/websites/coursela/codecanyon.kreativdev.com/coursela/demo/assets/css/toastr.min.css	(from https://codecanyon.kreativdev.com/coursela/demo/)
12:06:13	14180/14180	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Jan%202021%2010:01:10%20GMT	https://codecanyon.kreativdev.com/coursela/demo/assets/css/datatables-1.10.23.min.css	/Users/sajjadasaad/websites/coursela/codecanyon.kreativdev.com/coursela/demo/assets/css/datatables-1.10.23.min.css	(from https://codecanyon.kreativdev.com/coursela/demo/)
12:06:14	5121/5121	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Nov%202021%2012:11:10%20GMT	https://codecanyon.kreativdev.com/coursela/demo/assets/css/datatables.bootstrap4.min.css	/Users/sajjadasaad/websites/coursela/codecanyon.kreativdev.com/coursela/demo/assets/css/datatables.bootstrap4.min.css	(from https://codecanyon.kreativdev.com/coursela/demo/)
12:06:15	1026/1026	---M--	200	added ('OK')	text/css	date:Sun,%2008%20May%202022%2009:56:52%20GMT	https://codecanyon.kreativdev.com/coursela/demo/assets/css/monokai-sublime.css	/Users/sajjadasaad/websites/coursela/codecanyon.kreativdev.com/coursela/demo/assets/css/monokai-sublime.css	(from https://codecanyon.kreativdev.com/coursela/demo/)
12:06:16	30679/30679	---M--	200	added ('OK')	text/css	date:Wed,%2018%20Nov%202020%2013:06:34%20GMT	https://codecanyon.kreativdev.com/coursela/demo/assets/css/jquery-ui.min.css	/Users/sajjadasaad/websites/coursela/codecanyon.kreativdev.com/coursela/demo/assets/css/jquery-ui.min.css	(from https://codecanyon.kreativdev.com/coursela/demo/)
12:06:17	7955/7955	---M--	200	added ('OK')	text/css	date:Sun,%2003%20Oct%202021%2004:29:20%20GMT	https://codecanyon.kreativdev.com/coursela/demo/assets/css/default.min.css	/Users/sajjadasaad/websites/coursela/codecanyon.kreativdev.com/coursela/demo/assets/css/default.min.css	(from https://codecanyon.kreativdev.com/coursela/demo/)
